No,Oil_and_Gas_Company,Procurement_Type,Procurement Title,Description,Start_Date,End_Date,Attachment
78,Gas Nexus Ltd.,Jasa,Provision of ROV Services for TSB Phase 2,"Perusahaan membutuhkan Jasa jasa ROV services , terdiri dari penyediaan peralatan, pekerja, material untuk menunjang kegiatan pemboran perusahaan",2023-10-21,2023-10-28,e-proc.pdf
79,Gas Innovators Ltd.,Jasa,VSAT Link Rental and Services for Rig Jabung,"Calon Peserta Tender diminta untuk mengajukan proposal yang mencakup jasa „‰VSAT Link Rental and Services for Rig Jabung°¬ untuk mendukung kegiatan operasional Perusahaan di blok Jabung, Jambi, Sumatera",2023-10-21,2023-10-28,PCJ-2802-CA.pdf
80,Gas Innovators Ltd.,Barang,PROVIDE AQUA BOTTLE SUPPLY AND RENT DISPENSER FOR PETROCHINA OFFICE FROM LOBBY TO 27th FLOOR,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Provide Aqua Bottle Supply and Rent Dispenser for PetroChina Office,2023-10-21,2023-10-28,PCJ-2801-CA.pdf
81,Gas Innovators Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-21,2023-10-28,0003.pdf
82,Gas Innovators Ltd.,Jasa,Drilling Rig Services 750 HP,Calon Peserta Lelang diminta untuk mengajukan proposal jasa 1 (unit) unit rig pemboran di darat dengan kapasitas 750 HP untuk jangka waktu 12 (dua belas) bulan yang akan dimulai segera,2023-10-21,2023-10-28,PCJ-2798-CA.pdf
83,Gas Innovators Ltd.,Jasa,Provision of ROV Services for TSB Phase 2,"Perusahaan membutuhkan Jasa jasa ROV services , terdiri dari penyediaan peralatan, pekerja, material untuk menunjang kegiatan pemboran perusahaan",2023-10-21,2023-10-28,e-proc.pdf
84,Gas Innovators Ltd.,Jasa,VSAT Link Rental and Services for Rig Jabung,"Calon Peserta Tender diminta untuk mengajukan proposal yang mencakup jasa „‰VSAT Link Rental and Services for Rig Jabung°¬ untuk mendukung kegiatan operasional Perusahaan di blok Jabung, Jambi, Sumatera",2023-10-21,2023-10-28,PCJ-2802-CA.pdf
85,Fuel Fusion Ltd.,Barang,PROVIDE AQUA BOTTLE SUPPLY AND RENT DISPENSER FOR PETROCHINA OFFICE FROM LOBBY TO 27th FLOOR,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Provide Aqua Bottle Supply and Rent Dispenser for PetroChina Office,2023-10-21,2023-10-28,PCJ-2801-CA.pdf
86,Fuel Fusion Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-21,2023-10-28,0003.pdf
87,Fuel Fusion Ltd.,Jasa,Drilling Rig Services 750 HP,Calon Peserta Lelang diminta untuk mengajukan proposal jasa 1 (unit) unit rig pemboran di darat dengan kapasitas 750 HP untuk jangka waktu 12 (dua belas) bulan yang akan dimulai segera,2023-10-21,2023-10-28,PCJ-2798-CA.pdf
88,Fuel Fusion Ltd.,Jasa,Provision of ROV Services for TSB Phase 2,"Perusahaan membutuhkan Jasa jasa ROV services , terdiri dari penyediaan peralatan, pekerja, material untuk menunjang kegiatan pemboran perusahaan",2023-10-21,2023-10-28,e-proc.pdf
89,Energy Ventures Ltd.,Jasa,VSAT Link Rental and Services for Rig Jabung,"Calon Peserta Tender diminta untuk mengajukan proposal yang mencakup jasa „‰VSAT Link Rental and Services for Rig Jabung°¬ untuk mendukung kegiatan operasional Perusahaan di blok Jabung, Jambi, Sumatera",2023-10-21,2023-10-28,PCJ-2802-CA.pdf
90,Energy Ventures Ltd.,Barang,PROVIDE AQUA BOTTLE SUPPLY AND RENT DISPENSER FOR PETROCHINA OFFICE FROM LOBBY TO 27th FLOOR,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Provide Aqua Bottle Supply and Rent Dispenser for PetroChina Office,2023-10-21,2023-10-28,PCJ-2801-CA.pdf
91,Oil Dynamics Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-21,2023-10-28,0003.pdf
92,Oil Dynamics Ltd.,Jasa,Drilling Rig Services 750 HP,Calon Peserta Lelang diminta untuk mengajukan proposal jasa 1 (unit) unit rig pemboran di darat dengan kapasitas 750 HP untuk jangka waktu 12 (dua belas) bulan yang akan dimulai segera,2023-10-21,2023-10-28,PCJ-2798-CA.pdf
93,Oil Dynamics Ltd.,Jasa,Provision of ROV Services for TSB Phase 2,"Perusahaan membutuhkan Jasa jasa ROV services , terdiri dari penyediaan peralatan, pekerja, material untuk menunjang kegiatan pemboran perusahaan",2023-10-19,2023-10-26,e-proc.pdf
94,Oil Dynamics Ltd.,Jasa,VSAT Link Rental and Services for Rig Jabung,"Calon Peserta Tender diminta untuk mengajukan proposal yang mencakup jasa „‰VSAT Link Rental and Services for Rig Jabung°¬ untuk mendukung kegiatan operasional Perusahaan di blok Jabung, Jambi, Sumatera",2023-10-19,2023-10-26,PCJ-2802-CA.pdf
95,Oil Dynamics Ltd.,Barang,PROVIDE AQUA BOTTLE SUPPLY AND RENT DISPENSER FOR PETROCHINA OFFICE FROM LOBBY TO 27th FLOOR,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Provide Aqua Bottle Supply and Rent Dispenser for PetroChina Office,2023-10-19,2023-10-26,PCJ-2801-CA.pdf
96,Oil Dynamics Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-19,2023-10-26,0003.pdf
